"id","text","irony","sarcasm","topic"
"811156813181841408","Zurigo, trovato morto il presunto autore della sparatoria nel centro islamico #20dicembre https://t.co/rBjvUi8RJ2","0","0","HSC"
"811183087350595584","Zurigo, trovato morto il presunto autore della sparatoria nel centro islamico - https://t.co/XMrEqPnV6w tramite https://t.co/zAAl3RtO5F","0","0","HSC"
"826380632376881152","Zingari..i soliti ""MERDOSI""..#cacciamolivia Roma, i rom aggrediscono un 81enne per rapinarlo. Bloccati dai cittadini https://t.co/j6LYylIkhe","0","0","HSC"
"844871171350802432","Zingari di merda,tutti al muro...bastardi Sparano ai carabinieri dopo la rapina: presi nel campo nomadi di Giugliano https://t.co/efYYDutXvs","0","0","HSC"
"509712824361570304","zero notizie decreto #tfaordinario II ciclo zero notizie prove scritte. Alla faccia de #labuonascuola.#matteorenzi cosa stai aspettando?","1","0","TW-BS"
"825719460971450369","Yemen, primo raid ordinato da Trump: uccisi 14 terroristi, ma c’è anche un morto fra i soldati Usa … https://t.co/A8ssHTbUt5","0","0","HSC"
"814037469704441856","Yao,i 3 rom si accusano a vicenda:Delusi dal bottino https://t.co/bLibkhlnX5 @FabrizioSantori NO PROBLEM IN GALERA TUTTI E 3 FINE PENA MAI!!","0","0","HSC"
"834492829854531602","YAHOO!!Scoperti 7 nuovi pianeti simili alla terra!!forse abbiamo trovato la soluzione per il ricollocamento dei migranti!!","1","1","HSC"
"844312049173848065","x: non si entra nell'angolo rotture della Lidl rom: AAAAAAAAAAAAAAAAAAAAAH https://t.co/lQczymCw8x","1","0","HSC"
"511658751427108866","x il ministro Giannini questo è l'anno della buona scuola,che è cambiato?ci ha messo lo zucchero?nn si possono più sentire tante str...","1","0","TW-BS"
"507406864980901888","WOW!!! Tra tre anni, FORSE, ci danno 60 euro!!! Forza che da qui a un secolo raggiungiamo gli stipendi dei colleghi europei! #labuonascuola","1","0","TW-BS"
"518755434505568256","Wifi assente, nuovi modi di fare scuola, (im)preparazione del corpo docente. #labuonascuola http://t.co/EyjscFQi7J @startup_italia #ischool","0","0","TW-BS"
"515282234371502081","Web-design tutto bello e colorato, ma #labuonascuola mi fa scegliere tra ciò che non amo e ciò che amo ancor meno. Quindi non lo compilerò.","1","0","TW-BS"
"849218722183172096","W la scuola, w la cultura, w il razzismo, w i deliri e l'islamofobia per studenti e cittadini!   https://t.co/sQEVHBaiEO  #belpaese","1","0","HSC"
"151709775380496384","vuoi lavorare come social innovator per il governo monti? invia il curriculum al ministro profumo http://t.co/eQ93fgp3 #avvisopubblico","0","0","TW-SENTIPOLC"
"847544674235625472","VoxNews: Assessore PD fonda ONG che aiuta profughi a fare ricorso a spese nostre: Da una ricerca condotta dall… https://t.co/air5i2u5Er","0","0","HSC"
"532156818961600512","Votate sì! La Buona Scuola - INSERIMENTO IN RUOLO DOCENTI SFP VECCHIO ORDINAMENTO https://t.co/CzLVgTNWfe #labuonascuola","0","0","TW-BS"
"826944515114225664","Vorrei un campo rom vicino la casa di tutti quei buonisti e moralisti che predicano così bene!","1","1","HSC"
"847175823668989954","Vorrei sapere per quanti anni un giovane musulmano rimane praticante. Dopo un po' se ne fregano della religione #GABBIAOPEN","0","0","HSC"
"824695235817115650","Vorrei fare con te come #Salvini ai rom con le ruspe","1","1","HSC"
"800789580677054464","Vorrei dire una cosa in favore dei #rom che nessuno dice mai. Fatto.  #dallavostraparte","1","1","HSC"
"155265960394244097","Vorrei che tutti i quintali di pasta al forno che gli ora stiamo mangiando siano goduti alla faccia di Mario Monti e della Bce #wl'Ungheria","1","0","TW-SENTIPOLC"
"136750524518236160","Vorrei Che lo sforzo di Mario Monti fosse sostenuto e sorretto da una valanga di pensieri positivi...... Possibile? In Italia?","0","0","TW-SENTIPOLC"
"835151283053019136","Vorrei avere piú caratteri per discutere civilmente del caso della rom urlatrice, per esempio.","0","0","HSC"
"5.553008665559E+17","Vorrei anche io fare battute sul profeta islamico, ma ometto #sapevatelo","1","0","HSC"
"785211366609125376","Volevo caricare la mia bici in macchina ma per fisica ci siamo accorti che era più grande la bici della macchina e sembravamo ladri rom","1","0","HSC"
"553183622686343169","Volevo avvisare tutti i terroristi Islamici che mi seguono: #barbaradurso ha ripreso a fare giornalismo...","1","1","HSC"
"146197759299563521","Volantino #Rifondazione per lo #sciopero generale contro la #manovra depressiva del #governo #monti http://t.co/fte31ZiC","0","0","TW-SENTIPOLC"
"511444129306648576","Voi siete il buono della scuola: fatelo capire ai teorici della ""buona scuola"". Buon inizio ragazzi. #primogiornodiscuola (cit.)","1","0","TW-BS"
"152677662530355201","Voi avete qualche notiziuccia fresca sull'armata brancaleone?(governo Monti)","1","0","TW-SENTIPOLC"
"132229805667127296","Vogliono fare il governo Monti o il governo Casini? E se poi Silvio resiste?","0","0","TW-SENTIPOLC"
"825389496183160832","Vogliono abbattere i #lupi perché sono troppi. Beh sono troppi anche i politici i rom i clandestini. Avanti i primi.","1","1","HSC"
"840853311356059648","voglio l'eclettismo di voi falliti che passate da ""no alla violenza contro salvini"" a frasi tipo ""bruciamo i campi rom"" #salvininapoli","1","1","HSC"
"569139416737959937","Voglio andare ad Alghero in compagnia di una straniera....baciarsi sul mare forza 9,poi vomitare,ma come fai poi a baciarti...ahahahah","1","0","HSC"
"134409602623209472","Vogliamo il Presidente Mario Monti http://t.co/mBCWXtKt Presidente! #FullMonti","0","0","TW-SENTIPOLC"
"525223375955038208","Vogliamo anche al liceo l'alternanza scuola lavoro #labuonascuola  @SteGiannini","0","0","TW-BS"
"521991421096898560","Vladimir Luxuria incontra Berlusconi. Chissà di che cazzo hanno parlato. [@maurizioneri79]","1","0","TW-SPINO"
"810109798570164224","Viva la Sicilia e viva tutti profughi che arriveranno 2017!!!!Pensate!!Senza @matteosalvinimi che cosa succederà 😂","1","0","HSC"
"193073825712312321","Visto che una possibilità l'abbiamo data a tutti i mafiosi disponibili non vedo perchè non dovremmo ora darla anche a #Grillo .","0","0","TW-SENTIPOLC"
